站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
E2P980,林試六龜中心,2025-02-15,22.991703,120.645722,0.009235948,0.0,0.01,5.2244903e-10,0.0
E2P980,林試六龜中心,2025-02-16,22.991703,120.645722,0.020414528,0.0,0.02,4.6146081e-10,0.0
E2P980,林試六龜中心,2025-02-17,22.991703,120.645722,0.017032523,1.0,0.02,1.3271687e-09,0.0
E2P980,林試六龜中心,2025-02-18,22.991703,120.645722,0.028708188,0.0,0.04,3.878472e-09,0.0
E2P980,林試六龜中心,2025-02-19,22.991703,120.645722,0.048529252,1.0,0.08,5.223855e-09,0.0
E2P980,林試六龜中心,2025-02-20,22.991703,120.645722,0.08699471,0.0,0.38,1.7540359e-09,0.0
E2P980,林試六龜中心,2025-02-21,22.991703,120.645722,0.20112862,0.0,0.53,8.352757e-10,0.0
E2P980,林試六龜中心,2025-02-22,22.991703,120.645722,0.25331858,1.0,0.88,7.970515e-10,0.0
E2P980,林試六龜中心,2025-02-23,22.991703,120.645722,0.14062443,1.0,0.98,1.8328294e-09,0.0
E2P980,林試六龜中心,2025-02-24,22.991703,120.645722,0.12645029,1.0,0.99,1.0405073e-09,0.0
E2P980,林試六龜中心,2025-02-25,22.991703,120.645722,0.1375335,1.0,0.97,3.749468e-10,0.0
E2P980,林試六龜中心,2025-02-26,22.991703,120.645722,0.12272532,1.0,0.92,4.4587053e-10,0.0
E2P980,林試六龜中心,2025-02-27,22.991703,120.645722,0.046775356,1.0,0.89,4.0102047e-10,0.0
E2P980,林試六龜中心,2025-02-28,22.991703,120.645722,0.04394694,1.0,0.94,4.3763876e-10,0.0
E2P980,林試六龜中心,2025-03-01,22.991703,120.645722,0.0548634,1.0,0.97,5.528138e-10,0.0
E2P980,林試六龜中心,2025-03-02,22.991703,120.645722,0.18530118,1.0,0.96,4.407264e-10,0.0
E2P980,林試六龜中心,2025-03-03,22.991703,120.645722,0.6458125,0.0,0.92,3.5823902e-10,0.0
E2P980,林試六龜中心,2025-03-04,22.991703,120.645722,0.8188378,1.0,0.91,2.9257807e-10,0.0
E2P980,林試六龜中心,2025-03-05,22.991703,120.645722,0.8782006,1.0,0.93,2.6925706e-10,0.0
E2P980,林試六龜中心,2025-03-06,22.991703,120.645722,0.8448297,1.0,0.96,2.734623e-10,0.0
E2P980,林試六龜中心,2025-03-07,22.991703,120.645722,0.4174202,1.0,0.96,2.4375787e-10,0.0
E2P980,林試六龜中心,2025-03-08,22.991703,120.645722,0.18112068,0.0,0.96,4.3437634e-10,0.0
E2P980,林試六龜中心,2025-03-09,22.991703,120.645722,0.1399693,0.0,0.75,5.2824767e-10,0.0
E2P980,林試六龜中心,2025-03-10,22.991703,120.645722,0.07523409,1.0,0.79,1.5679562e-09,0.0
E2P980,林試六龜中心,2025-03-11,22.991703,120.645722,0.035101824,1.0,0.74,3.1924732e-10,0.0
E2P980,林試六龜中心,2025-03-12,22.991703,120.645722,0.057849012,1.0,0.51,3.9953324e-10,0.0
E2P980,林試六龜中心,2025-03-13,22.991703,120.645722,0.17323337,1.0,0.46,4.9811183e-10,0.0
E2P980,林試六龜中心,2025-03-14,22.991703,120.645722,0.50837564,0.0,0.43,5.592395e-10,0.0
E2P980,林試六龜中心,2025-03-15,22.991703,120.645722,0.8472673,1.0,0.52,4.5368911e-10,0.0
E2P980,林試六龜中心,2025-03-16,22.991703,120.645722,0.50208455,1.0,0.67,3.2189237e-10,0.0
E2P980,林試六龜中心,2025-03-17,22.991703,120.645722,0.4268975,1.0,0.82,3.5798084e-10,0.0
E2P980,林試六龜中心,2025-03-18,22.991703,120.645722,0.4920365,1.0,0.96,1.7161904e-09,0.0
E2P980,林試六龜中心,2025-03-19,22.991703,120.645722,0.23494285,1.0,0.93,2.6534528e-09,0.0
E2P980,林試六龜中心,2025-03-20,22.991703,120.645722,0.25846642,1.0,0.88,1.7683293e-09,0.0
E2P980,林試六龜中心,2025-03-21,22.991703,120.645722,0.563446,,0.77,8.5015295e-10,0.0
E2P980,林試六龜中心,2025-03-22,22.991703,120.645722,0.74628156,,0.73,1.2490756e-09,0.0
E2P980,林試六龜中心,2025-03-23,22.991703,120.645722,0.8370078,,0.71,3.2159244e-09,0.0
E2P980,林試六龜中心,2025-03-24,22.991703,120.645722,0.8952673,,0.77,5.0880917e-09,0.0
E2P980,林試六龜中心,2025-03-25,22.991703,120.645722,0.9375709,,0.82,2.1476638e-09,0.0
E2P980,林試六龜中心,2025-03-26,22.991703,120.645722,0.9340881,,0.83,1.2959527e-09,
E2P980,林試六龜中心,2025-03-27,22.991703,120.645722,0.9186335,,0.79,1.1438815e-09,
E2P980,林試六龜中心,2025-03-28,22.991703,120.645722,0.8631239,,0.62,1.7083653e-09,
E2P980,林試六龜中心,2025-03-29,22.991703,120.645722,0.8674997,,0.69,1.6196396e-09,
E2P980,林試六龜中心,2025-03-30,22.991703,120.645722,0.9253281,,0.41,1.3248393e-09,
E2P980,林試六龜中心,2025-03-31,22.991703,120.645722,0.95035046,,0.62,1.7779654e-05,
E2P980,林試六龜中心,2025-04-01,22.991703,120.645722,0.9601381,,0.8,0.6488669,
E2P980,林試六龜中心,2025-04-02,22.991703,120.645722,0.95872283,,0.89,0.91666794,
E2P980,林試六龜中心,2025-04-03,22.991703,120.645722,0.9394311,,0.94,0.8381038,
E2P980,林試六龜中心,2025-04-04,22.991703,120.645722,,,0.98,2.628996e-08,
