站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
G2P820,農試鳳山分所,2026-06-24,22.646611,120.356083,0.32243094,0.0,0.96,0.00025090843,0.0
G2P820,農試鳳山分所,2026-06-25,22.646611,120.356083,0.7431352,0.0,0.94,0.000544994,0.0
G2P820,農試鳳山分所,2026-06-26,22.646611,120.356083,0.857559,1.0,0.92,0.0006008705,3.7
G2P820,農試鳳山分所,2026-06-27,22.646611,120.356083,0.9088629,1.0,0.95,0.000108889326,33.0
G2P820,農試鳳山分所,2026-06-28,22.646611,120.356083,0.99713635,1.0,0.95,0.8129112,3.7
G2P820,農試鳳山分所,2026-06-29,22.646611,120.356083,0.999866,1.0,0.94,0.6389842,0.0
G2P820,農試鳳山分所,2026-06-30,22.646611,120.356083,0.99993366,1.0,0.75,7.009741e-05,0.0
G2P820,農試鳳山分所,2026-07-01,22.646611,120.356083,0.98232585,1.0,0.51,0.011457649,0.0
G2P820,農試鳳山分所,2026-07-02,22.646611,120.356083,0.16054155,1.0,0.5,0.68181586,0.0
G2P820,農試鳳山分所,2026-07-03,22.646611,120.356083,0.029006714,1.0,0.13,0.025738724,0.0
G2P820,農試鳳山分所,2026-07-04,22.646611,120.356083,0.029213466,0.0,0.21,0.010397795,0.0
G2P820,農試鳳山分所,2026-07-05,22.646611,120.356083,0.048700105,0.0,0.39,0.008152203,0.0
G2P820,農試鳳山分所,2026-07-06,22.646611,120.356083,0.13578214,0.0,0.59,0.013249404,0.0
G2P820,農試鳳山分所,2026-07-07,22.646611,120.356083,0.14271955,0.0,0.78,0.00046384946,0.0
G2P820,農試鳳山分所,2026-07-08,22.646611,120.356083,0.12978499,0.0,0.88,0.0016224674,11.0
G2P820,農試鳳山分所,2026-07-09,22.646611,120.356083,0.1437545,0.0,0.9,0.96502995,19.0
G2P820,農試鳳山分所,2026-07-10,22.646611,120.356083,0.17782816,0.0,0.9,0.9637529,15.0
G2P820,農試鳳山分所,2026-07-11,22.646611,120.356083,0.2585362,0.0,0.91,0.879848,7.4
G2P820,農試鳳山分所,2026-07-12,22.646611,120.356083,0.38848358,0.0,0.92,0.91226184,26.0
G2P820,農試鳳山分所,2026-07-13,22.646611,120.356083,0.6706378,0.0,0.94,0.9276361,22.0
G2P820,農試鳳山分所,2026-07-14,22.646611,120.356083,0.99613327,0.0,0.95,0.94784945,0.0
G2P820,農試鳳山分所,2026-07-15,22.646611,120.356083,0.9976873,0.0,0.95,0.77082753,0.0
G2P820,農試鳳山分所,2026-07-16,22.646611,120.356083,0.98721737,1.0,0.96,0.00085463875,0.0
G2P820,農試鳳山分所,2026-07-17,22.646611,120.356083,0.9535874,1.0,0.86,0.00039410935,0.0
G2P820,農試鳳山分所,2026-07-18,22.646611,120.356083,0.78129125,0.0,0.8,0.29423708,0.0
G2P820,農試鳳山分所,2026-07-19,22.646611,120.356083,0.6074438,1.0,0.83,0.81243974,0.0
G2P820,農試鳳山分所,2026-07-20,22.646611,120.356083,0.20246522,1.0,0.56,0.6967039,0.0
G2P820,農試鳳山分所,2026-07-21,22.646611,120.356083,0.13254064,1.0,0.22,0.7668171,0.0
G2P820,農試鳳山分所,2026-07-22,22.646611,120.356083,0.07363726,1.0,0.13,0.9408253,0.0
G2P820,農試鳳山分所,2026-07-23,22.646611,120.356083,0.057535194,1.0,0.18,0.20298842,11.0
G2P820,農試鳳山分所,2026-07-24,22.646611,120.356083,0.05824884,1.0,0.3,0.038023822,11.0
G2P820,農試鳳山分所,2026-07-25,22.646611,120.356083,0.057610646,1.0,0.54,0.12359483,11.0
G2P820,農試鳳山分所,2026-07-26,22.646611,120.356083,0.05313874,1.0,0.62,0.01950441,22.0
G2P820,農試鳳山分所,2026-07-27,22.646611,120.356083,0.050233915,0.0,0.7,0.0091812285,0.0
G2P820,農試鳳山分所,2026-07-28,22.646611,120.356083,0.03822939,0.0,0.7,0.0020509984,0.0
G2P820,農試鳳山分所,2026-07-29,22.646611,120.356083,0.02905979,,0.67,0.0018571413,0.0
G2P820,農試鳳山分所,2026-07-30,22.646611,120.356083,0.035215463,,0.58,0.3471533,0.0
G2P820,農試鳳山分所,2026-07-31,22.646611,120.356083,0.043475572,,0.76,0.7115576,0.0
G2P820,農試鳳山分所,2026-08-01,22.646611,120.356083,0.08233539,,0.91,0.62055105,0.0
G2P820,農試鳳山分所,2026-08-02,22.646611,120.356083,0.20331842,,0.94,0.19828264,
G2P820,農試鳳山分所,2026-08-03,22.646611,120.356083,0.18397199,,0.96,0.043712154,
G2P820,農試鳳山分所,2026-08-04,22.646611,120.356083,0.14154314,,0.96,0.037893914,
G2P820,農試鳳山分所,2026-08-05,22.646611,120.356083,0.12949713,,0.9,0.024317997,
G2P820,農試鳳山分所,2026-08-06,22.646611,120.356083,0.12605424,,0.91,0.019058853,
G2P820,農試鳳山分所,2026-08-07,22.646611,120.356083,0.13655554,,0.89,0.023699023,
G2P820,農試鳳山分所,2026-08-08,22.646611,120.356083,0.12068548,,0.8,0.11692327,
G2P820,農試鳳山分所,2026-08-09,22.646611,120.356083,0.10781782,,0.72,0.10851122,
G2P820,農試鳳山分所,2026-08-10,22.646611,120.356083,0.076922625,,0.59,0.10669848,
G2P820,農試鳳山分所,2026-08-11,22.646611,120.356083,,,0.51,0.109539315,
