站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
K2F750,種苗改良場,2026-07-29,24.225972,120.800917,0.97472703,1.0,0.95,0.00025469906,0.0
K2F750,種苗改良場,2026-07-30,24.225972,120.800917,0.9872848,1.0,0.89,0.0004249091,0.0
K2F750,種苗改良場,2026-07-31,24.225972,120.800917,0.9921911,1.0,0.82,0.030294998,0.0
K2F750,種苗改良場,2026-08-01,24.225972,120.800917,0.9880002,1.0,0.66,0.008835901,0.0
K2F750,種苗改良場,2026-08-02,24.225972,120.800917,0.9285501,1.0,0.39,0.006575796,0.0
K2F750,種苗改良場,2026-08-03,24.225972,120.800917,0.31777132,1.0,0.28,0.5372051,0.0
K2F750,種苗改良場,2026-08-04,24.225972,120.800917,0.3412808,1.0,0.92,0.9226519,0.0
K2F750,種苗改良場,2026-08-05,24.225972,120.800917,0.31670535,1.0,0.86,0.9867231,0.0
K2F750,種苗改良場,2026-08-06,24.225972,120.800917,0.31358147,1.0,0.77,0.8728582,11.0
K2F750,種苗改良場,2026-08-07,24.225972,120.800917,0.3558416,1.0,0.73,0.083738044,22.0
K2F750,種苗改良場,2026-08-08,24.225972,120.800917,0.49807674,1.0,0.71,0.72474384,26.0
K2F750,種苗改良場,2026-08-09,24.225972,120.800917,0.57617754,1.0,0.56,0.0007572887,19.0
K2F750,種苗改良場,2026-08-10,24.225972,120.800917,0.67068064,1.0,0.11,0.00031849957,3.7
K2F750,種苗改良場,2026-08-11,24.225972,120.800917,0.96126604,1.0,0.05,0.0017972062,11.0
K2F750,種苗改良場,2026-08-12,24.225972,120.800917,0.9770143,0.0,0.05,0.018684084,0.0
K2F750,種苗改良場,2026-08-13,24.225972,120.800917,0.98934394,1.0,0.19,0.9982929,0.0
K2F750,種苗改良場,2026-08-14,24.225972,120.800917,0.73188853,1.0,0.4,0.13622196,0.0
K2F750,種苗改良場,2026-08-15,24.225972,120.800917,0.19967234,0.0,0.16,5.001235e-05,0.0
K2F750,種苗改良場,2026-08-16,24.225972,120.800917,0.15554866,0.0,0.14,5.296198e-07,0.0
K2F750,種苗改良場,2026-08-17,24.225972,120.800917,0.17456968,1.0,0.16,1.9042909e-07,0.0
K2F750,種苗改良場,2026-08-18,24.225972,120.800917,0.18672019,1.0,0.35,8.796167e-08,0.0
K2F750,種苗改良場,2026-08-19,24.225972,120.800917,0.06267331,1.0,0.7,1.898186e-07,0.0
K2F750,種苗改良場,2026-08-20,24.225972,120.800917,0.09561248,1.0,0.87,1.5961133e-06,0.0
K2F750,種苗改良場,2026-08-21,24.225972,120.800917,0.1516718,1.0,0.88,0.74527127,7.4
K2F750,種苗改良場,2026-08-22,24.225972,120.800917,0.096359715,1.0,0.89,0.33387357,15.0
K2F750,種苗改良場,2026-08-23,24.225972,120.800917,0.12662096,1.0,0.86,0.0038292534,11.0
K2F750,種苗改良場,2026-08-24,24.225972,120.800917,0.12489814,1.0,0.85,0.011617993,0.0
K2F750,種苗改良場,2026-08-25,24.225972,120.800917,0.21279117,1.0,0.72,0.026831074,0.0
K2F750,種苗改良場,2026-08-26,24.225972,120.800917,0.3171746,1.0,0.81,0.26522654,0.0
K2F750,種苗改良場,2026-08-27,24.225972,120.800917,0.99942243,1.0,0.89,0.85758543,3.7
K2F750,種苗改良場,2026-08-28,24.225972,120.800917,0.99981976,1.0,0.94,0.82196695,0.0
K2F750,種苗改良場,2026-08-29,24.225972,120.800917,0.99976903,1.0,0.88,9.711811e-06,0.0
K2F750,種苗改良場,2026-08-30,24.225972,120.800917,0.9747833,1.0,0.87,0.26175508,0.0
K2F750,種苗改良場,2026-08-31,24.225972,120.800917,0.34113964,0.0,0.89,6.2931667e-06,0.0
K2F750,種苗改良場,2026-09-01,24.225972,120.800917,0.03756453,,0.95,1.6483127e-06,0.0
K2F750,種苗改良場,2026-09-02,24.225972,120.800917,0.019189425,,0.99,4.45811e-05,0.0
K2F750,種苗改良場,2026-09-03,24.225972,120.800917,0.014197726,,0.99,0.081332035,0.0
K2F750,種苗改良場,2026-09-04,24.225972,120.800917,0.012434543,,0.99,0.99922746,0.0
K2F750,種苗改良場,2026-09-05,24.225972,120.800917,0.01035028,,0.99,0.9992614,0.0
K2F750,種苗改良場,2026-09-06,24.225972,120.800917,0.008254058,,0.98,0.9851594,
K2F750,種苗改良場,2026-09-07,24.225972,120.800917,0.011538163,,0.95,0.99174076,
K2F750,種苗改良場,2026-09-08,24.225972,120.800917,0.023876997,,0.93,0.99577105,
K2F750,種苗改良場,2026-09-09,24.225972,120.800917,0.07435266,,0.91,0.9997766,
K2F750,種苗改良場,2026-09-10,24.225972,120.800917,0.33426595,,0.9,0.9998518,
K2F750,種苗改良場,2026-09-11,24.225972,120.800917,0.44437307,,0.84,0.9998348,
K2F750,種苗改良場,2026-09-12,24.225972,120.800917,0.6164804,,0.68,0.9994475,
K2F750,種苗改良場,2026-09-13,24.225972,120.800917,0.79382485,,0.61,0.9896935,
K2F750,種苗改良場,2026-09-14,24.225972,120.800917,0.89705396,,0.45,0.9519094,
K2F750,種苗改良場,2026-09-15,24.225972,120.800917,,,0.32,0.8198863,
