站號,站名,日期,lat,lon,BlastGRU-TW,BlastDT2,BlastLSTLS,BLBTSLS,planthopper
U2H480,溪頭,2025-03-15,23.670306,120.798194,0.0031274906,1.0,0.03,1.995271e-09,0.0
U2H480,溪頭,2025-03-16,23.670306,120.798194,0.002231959,0.0,0.04,1.3789531e-09,0.0
U2H480,溪頭,2025-03-17,23.670306,120.798194,0.0025152627,0.0,0.04,1.4354578e-09,0.0
U2H480,溪頭,2025-03-18,23.670306,120.798194,0.0038220773,1.0,0.04,1.3433636e-09,0.0
U2H480,溪頭,2025-03-19,23.670306,120.798194,0.007694988,1.0,0.05,1.8502793e-09,0.0
U2H480,溪頭,2025-03-20,23.670306,120.798194,0.0073958454,1.0,0.08,1.2798067e-09,0.0
U2H480,溪頭,2025-03-21,23.670306,120.798194,0.012363547,1.0,0.11,1.9563133e-09,0.0
U2H480,溪頭,2025-03-22,23.670306,120.798194,0.017086567,1.0,0.1,3.9682067e-09,0.0
U2H480,溪頭,2025-03-23,23.670306,120.798194,0.020871673,0.0,0.07,8.628482e-09,0.0
U2H480,溪頭,2025-03-24,23.670306,120.798194,0.03295504,0.0,0.07,9.53586e-09,7.4
U2H480,溪頭,2025-03-25,23.670306,120.798194,0.041629512,0.0,0.07,7.2252937e-09,19.0
U2H480,溪頭,2025-03-26,23.670306,120.798194,0.041484687,0.0,0.08,5.0076125e-09,7.4
U2H480,溪頭,2025-03-27,23.670306,120.798194,0.026041957,0.0,0.07,5.4689067e-09,0.0
U2H480,溪頭,2025-03-28,23.670306,120.798194,0.035533357,0.0,0.06,5.3441256e-09,0.0
U2H480,溪頭,2025-03-29,23.670306,120.798194,0.050857503,0.0,0.05,2.8967524e-09,0.0
U2H480,溪頭,2025-03-30,23.670306,120.798194,0.091002464,0.0,0.01,1.1766252e-09,0.0
U2H480,溪頭,2025-03-31,23.670306,120.798194,0.11627788,0.0,0.01,8.5128227e-10,0.0
U2H480,溪頭,2025-04-01,23.670306,120.798194,0.108353786,1.0,0.89,1.6468783e-09,0.0
U2H480,溪頭,2025-04-02,23.670306,120.798194,0.029513748,0.0,0.92,1.2753159e-09,0.0
U2H480,溪頭,2025-04-03,23.670306,120.798194,0.047448166,1.0,0.88,5.1065613e-10,0.0
U2H480,溪頭,2025-04-04,23.670306,120.798194,0.019412607,1.0,0.92,8.8464663e-10,0.0
U2H480,溪頭,2025-04-05,23.670306,120.798194,0.0071072085,1.0,0.87,1.9155606e-09,0.0
U2H480,溪頭,2025-04-06,23.670306,120.798194,0.0051841573,0.0,0.59,2.7121376e-09,0.0
U2H480,溪頭,2025-04-07,23.670306,120.798194,0.0049138926,0.0,0.3,3.851675e-09,0.0
U2H480,溪頭,2025-04-08,23.670306,120.798194,0.0050744293,0.0,0.11,3.9458663e-09,7.4
U2H480,溪頭,2025-04-09,23.670306,120.798194,0.005767586,0.0,0.07,5.860581e-09,3.7
U2H480,溪頭,2025-04-10,23.670306,120.798194,0.004562858,0.0,0.11,1.6086434e-08,0.0
U2H480,溪頭,2025-04-11,23.670306,120.798194,0.003164586,0.0,0.13,9.467808e-09,0.0
U2H480,溪頭,2025-04-12,23.670306,120.798194,0.0013291675,0.0,0.37,4.260676e-09,0.0
U2H480,溪頭,2025-04-13,23.670306,120.798194,0.00083482894,0.0,0.43,2.6250064e-09,11.0
U2H480,溪頭,2025-04-14,23.670306,120.798194,0.0015216151,,0.58,2.278971e-09,0.0
U2H480,溪頭,2025-04-15,23.670306,120.798194,0.015915286,,0.85,2.2877642e-09,0.0
U2H480,溪頭,2025-04-16,23.670306,120.798194,0.043810487,1.0,0.98,1.8994686e-09,0.0
U2H480,溪頭,2025-04-17,23.670306,120.798194,0.06682141,1.0,0.96,3.3952035e-09,0.0
U2H480,溪頭,2025-04-18,23.670306,120.798194,0.0833642,,0.78,4.930306e-09,0.0
U2H480,溪頭,2025-04-19,23.670306,120.798194,0.15030453,,0.77,1.8246256e-09,3.7
U2H480,溪頭,2025-04-20,23.670306,120.798194,0.28961104,,0.88,2.1095496e-09,0.0
U2H480,溪頭,2025-04-21,23.670306,120.798194,0.28398213,,0.91,2.4200042e-09,0.0
U2H480,溪頭,2025-04-22,23.670306,120.798194,0.10713757,,0.95,3.3348602e-09,0.0
U2H480,溪頭,2025-04-23,23.670306,120.798194,0.10602974,,0.92,3.3122043e-09,
U2H480,溪頭,2025-04-24,23.670306,120.798194,0.22251488,,0.95,3.6044203e-09,
U2H480,溪頭,2025-04-25,23.670306,120.798194,0.43775153,,0.93,2.5311647e-07,
U2H480,溪頭,2025-04-26,23.670306,120.798194,0.54533917,,0.88,0.007864993,
U2H480,溪頭,2025-04-27,23.670306,120.798194,0.31319103,,0.85,0.47388193,
U2H480,溪頭,2025-04-28,23.670306,120.798194,0.18921818,,0.9,0.0005247457,
U2H480,溪頭,2025-04-29,23.670306,120.798194,0.17825826,,0.96,4.2170598e-08,
U2H480,溪頭,2025-04-30,23.670306,120.798194,0.16983248,,0.95,5.9610095e-08,
U2H480,溪頭,2025-05-01,23.670306,120.798194,0.20171866,,0.86,4.8597716e-08,
U2H480,溪頭,2025-05-02,23.670306,120.798194,,,0.88,4.2300133e-08,
